,ADDRESSBLOCKHOUSENUMBER,LATITUDE,EST_ORIGINAL_COMPLETION_DATE,STATUS,NO_OF_FOOD_STALLS,REGION,APPROXIMATE_GFA,LONGITUDE,NO_OF_MARKET_STALLS,DESCRIPTION,NAME,RNR_STATUS,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,LON,LAT
113, 1  ,1.352983,6/8/2016,Existing (new),42,East,2241,103.940231,0,New Centre,Our Tampines Hub,,Tampines Walk,528523,TAMPINES,TM,EAST REGION,ER,103.939726160039,1.35386211773287
114,   ,,1/1/2020,Under Construction,,,,,,New Centre,Bukit Canberra Hawker Centre,,,,SEMBAWANG,SB,NORTH REGION,NR,103.822399230842,1.44921660555282
115, 50  ,,1/1/2021,Under Construction,,,,,,New Replacement Centre,Market Street Hawker Centre,,Market Street,48940,DOWNTOWN CORE,DT,CENTRAL REGION,CR,103.850164578087,1.2844248503218
116,   ,,1/1/2023,Under Construction,,,,,,New Centre,Punggol Digital District Hawker Centre,,Ponggol Seventeenth Avenue,,PUNGGOL,PG,NORTH-EAST REGION,NER,103.908252830309,1.41456688638677
117, 1  ,1.31110203,Pre-War,Existing,21,West,1512.38,103.7949448,48,HUP Rebuilding,Holland Village Market and Food Centre,Completed,Lorong Mambong,277700,BUKIT TIMAH,BT,CENTRAL REGION,CR,103.794862936127,1.31090802808558
118, 105  ,1.35408998,30/6/1982,Existing,51,North,,103.890213,120,HUP Rebuilding,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),Completed,Hougang Ave 1,530105,HOUGANG,HG,NORTH-EAST REGION,NER,103.890081064953,1.35383739101169
119, 209  ,1.359079,30/9/1983,Existing,65,North,,103.8859253,118,HUP Standard Upgrading,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),Completed,Hougang Street 21,530209,HOUGANG,HG,NORTH-EAST REGION,NER,103.885977616903,1.35911942212642
120, 112  ,1.2800699500000001,1/1/1969,Existing,28,West,,103.8260727,96,HUP Standard Upgrading,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),Completed,Jalan Bukit Merah,160112,BUKIT MERAH,BM,CENTRAL REGION,CR,103.826013285715,1.28000481198881
121, 6  ,1.28700995,11/10/1974,Existing,96,Central,,103.8081894,48,HUP Reconfiguration,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),Completed,Jalan Bukit Merah,150006,BUKIT MERAH,BM,CENTRAL REGION,CR,103.808127999318,1.28695275198944
122, 1  ,1.28831995,21/1/1969,Existing,21,Central,,103.8399963,0,HUP Standard Upgrading,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),Completed,Jalan Kukoh,161001,OUTRAM,OT,CENTRAL REGION,CR,103.839945947186,1.28823055540002
123, 347  ,1.34536004,17/10/1984,Existing,56,West,,103.7315826,169,HUP Standard Upgrading,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),Completed,Jurong East Ave 1,600347,JURONG EAST,JE,WEST REGION,WR,103.731579747132,1.34531247026793
124, 254  ,1.34343302,30/4/1983,Existing,60,West,,103.7376862,87,HUP Reconfiguration,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),Completed,Jurong East Street 24,600254,JURONG EAST,JE,WEST REGION,WR,103.737781231485,1.34344213770991
