,ADDRESSBLOCKHOUSENUMBER,LATITUDE,EST_ORIGINAL_COMPLETION_DATE,STATUS,NO_OF_FOOD_STALLS,REGION,APPROXIMATE_GFA,LONGITUDE,NO_OF_MARKET_STALLS,DESCRIPTION,NAME,RNR_STATUS,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,LON,LAT
64, 110  ,1.373318,16/10/2017,Existing (new),42,East,4771,103.951364,0,New Centre,Pasir Ris Central Hawker Centre,,Pasir Ris Central,519641,PASIR RIS,PR,EAST REGION,ER,103.951543034782,1.37343413973246
65, 270  ,1.30112004,7/8/1978,Existing,86,Central,,103.8541412,148,HUP Standard Upgrading,Queen Street Blk 270 (Albert Centre),Completed,Queen Street,180270,ROCHOR,RC,CENTRAL REGION,CR,103.854211645499,1.30100146521405
66, 79  ,1.28790999,1/1/1969,Existing,0,West,,103.8183975,122,HUP Reconfiguration,Redhill Lane Blk 79 (Redhill Market),Completed,Redhill Lane,150079,BUKIT MERAH,BM,CENTRAL REGION,CR,103.818402623449,1.2878581025663
67, 85  ,1.28740001,4/4/1972,Existing,96,West,,103.8183975,0,HUP Reconfiguration,Redhill Lane Blk 85 (Redhill Food Centre),Completed,Redhill Lane,150085,BUKIT MERAH,BM,CENTRAL REGION,CR,103.818338919994,1.28733076703987
68, 590  ,1.37241995,1/1/1974,Existing,36,North,884.38,103.8290329,0,HUP Standard Upgrading,Sembawang Hills Food Centre (Jalan Leban Food Centre),Completed,Upper Thomson Road,574419,ANG MO KIO,AM,NORTH-EAST REGION,NER,103.828994204342,1.37238494002145
69, 320  ,1.35181999,25/5/2000,Existing,31,North,,103.8370285,51,Not eligible for HUP,Shunfu Road Blk 320 (Shunfu Mart),Completed,Shunfu Road,570320,BISHAN,BS,CENTRAL REGION,CR,103.837031803823,1.35200744198417
70, 49  ,1.31710005,20/9/1976,Existing,66,East,,103.8793793,78,HUP Reconfiguration,Sims Place Blk 49 (Sims Vista Market and Food Centre),Completed,Sims Place,380049,GEYLANG,GL,CENTRAL REGION,CR,103.879417030673,1.31708335109102
71, 335  ,1.2823,31/5/1983,Existing,226,Central,,103.8428802,477,HUP Reconfiguration,Smith Street Blk 335 (Chinatown Complex Market),Completed,Smith Street,050335,OUTRAM,OT,CENTRAL REGION,CR,103.843177616296,1.28223514826381
72, 127  ,1.33816004,11/3/1969,Existing,40,Central,,103.8447876,108,HUP Reconfiguration,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),Completed,Lorong 1 Toa Payoh,310127,TOA PAYOH,TP,CENTRAL REGION,CR,103.844731621961,1.33809268551386
73, 74  ,1.33462,9/9/1968,Existing,10,Central,,103.8520584,80,HUP Reconfiguration,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),Completed,Lorong 4 Toa Payoh,310074,TOA PAYOH,TP,CENTRAL REGION,CR,103.851999137527,1.33454816495637
74, 93  ,1.33853996,19/7/1967,Existing,28,Central,,103.8495712,32,HUP Standard Upgrading,Toa Payoh Lorong 4 Blk 93,Completed,Lorong 4 Toa Payoh,310093,TOA PAYOH,TP,CENTRAL REGION,CR,103.849513484035,1.3384747524617
75, 75  ,1.33609998,5/2/1968,Existing,36,Central,,103.8529968,0,HUP Standard Upgrading,Toa Payoh Lorong 5 Blk 75,Completed,Lorong 5 Toa Payoh,310075,TOA PAYOH,TP,CENTRAL REGION,CR,103.852941556275,1.33603882157063
76, 22  ,1.3352899599999999,2/3/1970,Existing,61,Central,,103.8570633,59,HUP Reconfiguration,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),Completed,Lorong 7 Toa Payoh,310022,TOA PAYOH,TP,CENTRAL REGION,CR,103.857036007166,1.33523145909678
77, 210  ,1.34033001,27/8/1974,Existing,80,Central,,103.8544617,77,HUP Standard Upgrading,Toa Payoh Lorong 8 Blk 210,Completed,Lorong 8 Toa Payoh,310210,TOA PAYOH,TP,CENTRAL REGION,CR,103.854395279214,1.3402608349586
78, 17  ,1.31508994,28/2/1974,Existing,84,Central,,103.8716812,60,HUP Standard Upgrading,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),Completed,Upper Boon Keng Road,380017,KALLANG,KL,CENTRAL REGION,CR,103.871620273635,1.31502804429519
79, 531A  ,1.28446996,28/1/1978,Existing,103,Central,,103.8458633,40,HUP Reconfiguration,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),Completed,Upper Cross Street,051531,OUTRAM,OT,CENTRAL REGION,CR,103.845818885585,1.28524640047048
80, 502  ,1.3119599800000001,19/1/1995,Existing,0,West,,103.7591019,68,Not eligible for HUP,West Coast Drive Blk 502 (Ayer Rajah Market),Completed,West Coast Drive,120502,CLEMENTI,CL,WEST REGION,WR,103.759166093858,1.31188972115897
81, 503  ,1.31186998,26/3/1979,Existing,80,West,,103.7598038,0,HUP Standard Upgrading,West Coast Drive Blk 503 (Ayer Rajah Food Centre),Completed,West Coast Drive,120503,CLEMENTI,CL,WEST REGION,WR,103.759751321019,1.31180301004196
82, 90  ,1.32314003,26/8/1976,Existing,80,Central,,103.8550415,12,HUP Standard Upgrading,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),Completed,Whampoa Drive,320090,NOVENA,NV,CENTRAL REGION,CR,103.855137696535,1.32294306204189
83, 91/92  ,1.32349002,3/1/1973,Existing,52,Central,,103.8541336,112,HUP Standard Upgrading,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),Completed,Whampoa Drive,320091,NOVENA,NV,CENTRAL REGION,CR,103.85406806286,1.32342175143826
84, 51  ,1.424911,3/7/2017,Existing (new),45,Central,3364,103.844992,0,New Centre,Yishun Park Hawker Centre,,Yishun Avenue 11,768867,YISHUN,YS,NORTH REGION,NR,103.844747581861,1.42501763803265
85, 104/105  ,1.43165803,31/3/1984,Existing,56,North,,103.8280716,123,HUP Standard Upgrading,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),Completed,Yishun Ring Road,760104,YISHUN,YS,NORTH REGION,NR,103.828537609942,1.43144768831222
86, 3  ,1.33468103,23/3/2005,Existing,123,West,7770.3,103.7216187,57,HUP Rebuilding,Taman Jurong Market and Food Centre,Completed,Yung Sheng Road,618499,JURONG WEST,JW,WEST REGION,WR,103.721519868629,1.33458935951076
87, 137  ,1.34559596,30/11/1982,Existing,45,East,,103.9445953,99,HUP Reconfiguration,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),Completed,Tampines Street 11,521137,TAMPINES,TM,EAST REGION,ER,103.944624481151,1.3456395210229
