,Name,Description,geometry
19,kml_20,Attributes LIC_NAME THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.  BLK_HOUSE 676  STR_NAME WOODLANDS DRIVE 71  UNIT_NO 4  POSTCODE 730676  LIC_NO NW18310J000  INC_CRC 80FFC5863445363D  FMEL_UPD_D 20180711174048 ,POINT Z (103.800701205041 1.43991607901426 0)
20,kml_21,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 1  STR_NAME JALAN BERSEH  UNIT_NO 3/22  POSTCODE 209037  LIC_NO CE12096L000  INC_CRC 0345D5333A79129B  FMEL_UPD_D 20181003180619 ,POINT Z (103.857010987509 1.30778510070706 0)
21,kml_22,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 163  STR_NAME TANGLIN ROAD  UNIT_NO 2/3  POSTCODE 247933  LIC_NO W02073N000  INC_CRC 0F0E200CDB5F3678  FMEL_UPD_D 20181003180619 ,POINT Z (103.823852799187 1.30484344487426 0)
22,kml_23,Attributes LIC_NAME BLUEWATER SEAFOOD PTE. LTD.  BLK_HOUSE 8D  STR_NAME DEMPSEY ROAD  UNIT_NO 1  POSTCODE 249672  LIC_NO CE18D64L000  INC_CRC 0A84C7734855DF0F  FMEL_UPD_D 20181003180619 ,POINT Z (103.80938167216 1.30344597442988 0)
23,kml_24,Attributes LIC_NAME WONS BUTCHERY PTE. LTD.  BLK_HOUSE 1  STR_NAME ST. MARTIN'S DRIVE  UNIT_NO 1  POSTCODE 257988  LIC_NO CE18G34E000  INC_CRC 2A8AD7C49BB35393  FMEL_UPD_D 20181003180619 ,POINT Z (103.824463823195 1.30570970646179 0)
24,kml_25,Attributes LIC_NAME LITTLE FARMS PTE. LTD.  BLK_HOUSE 3  STR_NAME LORONG LIPUT  UNIT_NO 4  POSTCODE 277725  LIC_NO CE18I13C000  INC_CRC A887A4094F9E78C9  FMEL_UPD_D 20181003180619 ,POINT Z (103.795246166645 1.31064350283582 0)
25,kml_26,Attributes LIC_NAME B & S MINI MART PTE. LTD.  BLK_HOUSE 310  STR_NAME GEYLANG ROAD  UNIT_NO   POSTCODE 389349  LIC_NO CE14Q85A000  INC_CRC 4DFE6BEAE93CDC87  FMEL_UPD_D 20181003180619 ,POINT Z (103.87962231543 1.31245104539871 0)
26,kml_27,"Attributes LIC_NAME CHEE MIN KUAN, SIMON  BLK_HOUSE 342  STR_NAME TANJONG KATONG ROAD  UNIT_NO   POSTCODE 437112  LIC_NO SE14965K000  INC_CRC 7827732A1824519B  FMEL_UPD_D 20181003180619 ",POINT Z (103.896498243508 1.30373373435466 0)
27,kml_28,Attributes LIC_NAME JSJ CORPORATION PTE. LTD.  BLK_HOUSE 31A  STR_NAME TANAH MERAH COAST ROAD  UNIT_NO 1  POSTCODE 498720  LIC_NO SE17345J000  INC_CRC FDD2F7C14A0999CC  FMEL_UPD_D 20181003180619 ,POINT Z (103.985869406123 1.31845201086353 0)
28,kml_29,Attributes LIC_NAME U STARS PTE. LTD.  BLK_HOUSE 625  STR_NAME ELIAS ROAD  UNIT_NO 302  POSTCODE 510625  LIC_NO NE04092A000  INC_CRC 5FF712EFFA4F8498  FMEL_UPD_D 20181003180619 ,POINT Z (103.941978177656 1.37860238037503 0)
29,kml_30,Attributes LIC_NAME LOTTE MART PTE. LTD.  BLK_HOUSE 17  STR_NAME LORONG KILAT  UNIT_NO 2  POSTCODE 598139  LIC_NO SW06806E000  INC_CRC 84C132EF00F2782B  FMEL_UPD_D 20181003180619 ,POINT Z (103.774213263461 1.34082661486743 0)
30,kml_31,Attributes LIC_NAME AJMAL TRADING GROUP PTE. LTD.  BLK_HOUSE 5  STR_NAME JALAN PAPAN  UNIT_NO 32  POSTCODE 619396  LIC_NO SW16B52K000  INC_CRC 93A2A674B553E67B  FMEL_UPD_D 20181003180619 ,POINT Z (103.727480745718 1.32210836314021 0)
31,kml_32,Attributes LIC_NAME MURUGAN TRADERS PTE LTD  BLK_HOUSE 9  STR_NAME TRACTOR ROAD  UNIT_NO   POSTCODE 627970  LIC_NO SW18B79P000  INC_CRC F1EBC8EAFDAA9EF8  FMEL_UPD_D 20181003180619 ,POINT Z (103.705099705855 1.32491980413317 0)
32,kml_33,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 440  STR_NAME BUKIT BATOK WEST AVENUE 8  UNIT_NO 10  POSTCODE 650440  LIC_NO SW18A30L000  INC_CRC 26B1BFE8EC40794E  FMEL_UPD_D 20181003180619 ,POINT Z (103.739303106346 1.35572307607651 0)
33,kml_34,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 785E  STR_NAME WOODLANDS RISE  UNIT_NO 1  POSTCODE 735785  LIC_NO NW18649C000  INC_CRC 3C5B5E0FADC770CB  FMEL_UPD_D 20181003180619 ,POINT Z (103.80548757912 1.44680413155135 0)
34,kml_35,Attributes LIC_NAME AJMAL TRADING GROUP PTE. LTD.  BLK_HOUSE 2  STR_NAME WOODLANDS SECTOR 2  UNIT_NO 5  POSTCODE 737723  LIC_NO NW15489B000  INC_CRC 50016EF55AB80A12  FMEL_UPD_D 20181003180619 ,POINT Z (103.809438952915 1.46152554782754 0)
35,kml_36,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 675  STR_NAME YISHUN AVENUE 4  UNIT_NO 10  POSTCODE 760675  LIC_NO NW18478E000  INC_CRC 30AE6E739E4C2175  FMEL_UPD_D 20181003180619 ,POINT Z (103.843558892177 1.42015550315781 0)
36,kml_37,Attributes LIC_NAME PHAN NEE TRADING LLP  BLK_HOUSE 2B  STR_NAME YISHUN AVENUE 7  UNIT_NO 1  POSTCODE 768929  LIC_NO NW08337X000  INC_CRC 8B068D0211232A26  FMEL_UPD_D 20181003180619 ,POINT Z (103.839030200378 1.4443412952404 0)
